order_id,customer,age,city,product,category,quantity,unit_price,rating
1001,Ahmed,28,Algiers,Laptop,Electronics,1,850,5
1002,Sarah,34,Oran,Phone,Electronics,2,420,4
1003,Yacine,22,Blida,Headphones,Electronics,3,75,5
1004,Lina,41,Algiers,Desk,Furniture,1,230,4
1005,Karim,30,Setif,Chair,Furniture,4,95,3
1006,Nadia,26,Oran,Phone,Electronics,1,520,5
1007,Samir,37,Algiers,Monitor,Electronics,2,310,4
1008,Amel,24,Tlemcen,Desk,28,1,280,5
1009,Walid,45,Blida,Chair,Furniture,6,80,4
1010,Imane,29,Oran,Laptop,Electronics,1,920,5
1011,Youcef,33,Algiers,Keyboard,Electronics,2,65,3
1012,Salma,27,Setif,Mouse,Electronics,3,35,4
1013,Riad,39,Tlemcen,Desk,Furniture,2,250,4
1014,Meriem,21,Blida,Headphones,Electronics,2,90,5
1015,Adel,52,Algiers,Chair,Furniture,3,110,3
1016,Ines,31,Oran,Monitor,Electronics,1,350,4
1017,Nabil,36,Setif,Laptop,Electronics,2,800,5
1018,Selma,25,Tlemcen,Mouse,Electronics,4,40,4
1019,Fares,43,Blida,Desk,Furniture,1,260,3
1020,Asma,28,Algiers,Phone,Electronics,2,480,5
